,Zipcode,Sqrt_MSE
0,01001,65199.97088221948
1,01002,37498.84575580213
2,01040,17204.743349148714
3,01056,78455.74709611699
4,01060,92803.73210318995
5,01075,26980.87890393215
6,01085,14804.198831371066
7,01106,81946.7534684172
8,01201,22336.951658375456
9,01230,44557.66049149846
10,01237,18632.121126225953
11,01240,143190.9655823095
12,01267,33556.828046431605
13,01420,9686.188273690783
14,01451,87667.20475597562
15,01453,38696.02957521074
16,01516,88712.64042954569
17,01545,53167.71206889891
18,01569,27997.86407296963
19,01581,28606.872512495367
20,01701,93886.1422283902
21,01720,75113.17440387451
22,01742,390193.1013565005
23,01760,61505.8308400871
24,01776,267253.3143405928
25,01810,75975.94922881803
26,01824,66646.51724482822
27,01844,72166.15039803417
28,01852,113848.40830767032
29,01867,51127.73128617949
30,01876,42843.12485582013
31,01890,486465.0941945755
32,01902,25500.705845377608
33,01913,34735.293226322305
34,01915,51992.61634513231
35,01930,94648.55363486776
36,01945,164762.20978216565
37,01970,29165.377003749403
38,02021,104332.78673829902
39,02025,576870.7445424855
40,02026,114734.75670665562
41,02030,218279.34927734308
42,02043,92966.38071331565
43,02045,87104.49776349765
44,02050,60487.82774183021
45,02056,60229.778788451316
46,02061,168523.83888215895
47,02066,110363.58570132403
48,02067,76052.6235510665
49,02081,60803.09275011953
50,02090,179594.13980370137
51,02093,41963.672532511526
52,02108,756340.7457382582
53,02110,396802.8767388009
54,02111,326434.5053077413
55,02114,175773.3279642987
56,02115,313607.89800152456
57,02116,110817.50984423322
58,02118,147692.35382457476
59,02127,34748.63612075747
60,02128,24119.857167382215
61,02129,112889.4852553723
62,02130,23903.12340229116
63,02131,60843.28870531645
64,02151,23634.68359785246
65,02169,42630.398417131204
66,02171,151464.10995523527
67,02184,28243.776254067965
68,02186,91072.44051590974
69,02301,16657.588376788142
70,02302,23505.507025379047
71,02346,38475.09776276653
72,02347,44561.66209810321
73,02360,27661.34056623551
74,02420,337390.42597663717
75,02445,90427.65643521168
76,02459,495640.5883585745
77,02467,475825.6747708916
78,02482,236416.4464006385
79,02492,169940.80499797972
80,02493,360673.7678733967
81,02532,43345.87435953922
82,02536,104005.32526607222
83,02537,414888.52249283856
84,02539,396112.8513777946
85,02540,57186.6914438665
86,02554,663155.5580200504
87,02557,90637.37398154325
88,02563,61290.19656315781
89,02568,757799.3477251444
90,02571,42260.61637917214
91,02601,38325.65523332531
92,02631,216658.05199494943
93,02632,68475.86211424496
94,02633,342613.1711128934
95,02635,1077502.87889157
96,02638,194485.55486643067
97,02639,33718.13679878555
98,02642,15022.186958231685
99,02649,197897.8685694064
100,02653,437836.52333892975
101,02655,661687.1253066064
102,02657,155470.84903306921
103,02664,129084.84238500772
104,02673,30579.481405535633
105,02675,315323.9486855854
106,02703,25697.66340151494
107,02740,18307.318661556183
108,02747,81198.97461296666
109,02748,340312.60274785594
110,02769,46415.754541439455
111,02771,93567.38240752842
112,02780,24669.12348404516
113,02806,167438.29818915308
114,02807,230049.93644923667
115,02809,66102.22961026631
116,02813,38349.60167007675
117,02816,26348.03298092961
118,02818,39607.56848805591
119,02835,260198.57651483666
120,02840,88424.48446019817
121,02852,34519.16807519481
122,02860,30474.14233274367
123,02864,7733.935203888931
124,02865,66242.69493140379
125,02871,83904.24682883502
126,02878,150688.89331350278
127,02879,48733.26469741685
128,02882,147776.57116082852
129,02886,24802.168013332703
130,02889,40865.359414127706
131,02891,171656.24930008847
132,02893,19444.576300699384
133,02903,54752.36512624287
134,02904,40277.67427035793
135,02906,186671.459222757
136,02919,19146.144327319205
137,02920,28659.43943050276
138,02921,87741.64868579133
139,03038,31447.627401939688
140,03053,37406.234808191286
141,03054,49952.985004685375
142,03062,30446.182868862164
143,03079,34435.19131045141
144,03087,74259.67052883506
145,03246,17403.51053679657
146,03249,49144.8945239987
147,03251,127933.93127720589
148,03431,42346.094717412714
149,03766,58111.3717754468
150,03801,115126.15132558547
151,03820,29837.840438947573
152,03833,16940.55827349704
153,03842,12548.885716248824
154,03907,646467.9991070331
155,03909,48647.060103914955
156,04011,58486.967561282094
157,04043,62907.91129980121
158,04046,242596.20053850155
159,04064,51448.51194999905
160,04072,44548.27060726193
161,04073,30534.49428746012
162,04074,54127.49789469978
163,04090,30357.920297858785
164,04101,43620.62401719976
165,04105,44969.81681847811
166,04210,38379.111742139394
167,04330,12268.42298629852
168,04345,10001.67114040268
169,04401,69275.00730425555
170,04426,53297.44577644228
171,04441,45658.527202251455
172,04605,65406.587165738405
173,04609,46254.076014547936
174,04631,84536.47381183313
175,04652,29309.744922687765
176,04654,121931.75251072996
177,04730,44304.79121815014
178,04736,19230.189838948238
179,04743,55027.04470974522
180,04756,23815.037529840072
181,04769,15151.19020252118
182,04849,165795.47200260984
183,04856,530921.6067397889
184,04863,59104.74019789342
185,04901,15680.380773296778
186,04915,30677.809855838423
187,04947,47783.468381513034
188,04970,32633.956166469135
189,05143,54501.967779399994
190,05149,40797.914378258414
191,05156,17766.04837958339
192,05201,44243.367304823674
193,05301,34139.15287400036
194,05356,97026.18629952987
195,05363,124983.24719223422
196,05403,28953.091677586788
197,05446,11445.511218973543
198,05464,52679.09343793296
199,05478,51700.37561592608
200,05641,27382.936867145865
201,05672,93033.64822816975
202,05701,19348.551232879407
203,05751,234929.93959072154
204,06001,91740.45082252663
205,06002,25542.002155662558
206,06010,18633.7132461116
207,06013,53662.693128610146
208,06019,198480.87757155052
209,06029,83291.73567306723
210,06032,18628.104934884243
211,06033,208350.81496217972
212,06037,12711.141495799448
213,06040,16949.066536617585
214,06042,33252.09937380815
215,06051,22153.308443275517
216,06053,38622.10053832375
217,06057,85365.17617908199
218,06062,18284.12506811255
219,06066,40335.26412041506
220,06067,42203.62883235722
221,06068,1031464.2163125607
222,06069,152888.38123133747
223,06070,56436.656124559515
224,06071,140145.78760015487
225,06074,8127.702640002274
226,06076,8022.714765071121
227,06078,48866.961411386736
228,06082,119089.0833228923
229,06084,31688.446978255804
230,06095,21446.937541374857
231,06098,109414.07669679415
232,06105,48192.06088911351
233,06106,9245.474291346853
234,06107,12976.418271048737
235,06108,10963.770701047788
236,06109,22478.32757367494
237,06111,4386.9713912972275
238,06117,68282.68266469603
239,06118,9901.271253614546
240,06119,57538.570322533626
241,06238,26646.038591732628
242,06320,40286.349109507246
243,06333,52385.835982416706
244,06339,27551.471942171884
245,06340,87630.60014133474
246,06351,34588.33500756076
247,06354,11714.514615341312
248,06355,166287.66853788603
249,06357,76101.66068181493
250,06360,18747.618613655606
251,06371,83519.60842267478
252,06378,112438.3923865143
253,06385,32157.225706676807
254,06405,252313.0501415975
255,06410,28020.538061122195
256,06413,163163.6118836904
257,06415,71533.68491744588
258,06416,32487.01354862666
259,06418,29674.846289523128
260,06423,79351.42203525157
261,06424,18759.647985356583
